Descripcion,Asignado,Sector
.HOTELES DE CHILE  S.A,HOTELES DE CHILE  SA,HORE
.NESTLE CHILE S.A,NESTLE CHILE SA,COME
34-10383-IANSAGRO S A.,IANSAGRO SA,AGCS
37-15429-TOP BERRIES & FRUITS SpA.,TOP BERRIES & FRUITS SPA,AGCS
A G SERVICIOS Y COMPAÑIA LIMITADA,AG SERVICIOS Y COMPAÑIA LIMITADA,COME
A IMPRESORES,A IMPRESORES,COME
ABASTECEDORA DE CRISTALES VMGLASS S.A.,ABASTECEDORA DE CRISTALES VMGLASS SA,COME
ABICK,ABICK,PESC
ACEROS_CHILE,ACEROS CHILE,IMM
ACF,ACF,MINE
ACMA S.A - Ferrallas,ACMA SA - FERRALLAS,IMM
ACMA S.A - Mallas,ACMA SA - MALLAS,IMM
ACMA S.A - Step Weld,ACMA SA - STEP WELD,IMM
ACMANET S.A,ACMANET SA,IMM
ACME_CHILE_SPA,ACME CHILE SPA,AIEA
ACONCAGUA FOODS,ACONCAGUA FOODS,AGCS
ACONCAGUA_FOODS,ACONCAGUA FOODS,AGCS
ADESSA_FALABELLA,ADESSA FALABELLA,OTRO
ADM _DE_SUPERMERCADOS_EXPRESS_LTDA,ADMINISTRADORA DE SUPERMERCADOS HIPER LT,COME
ADM DE SUPERMERCADOS HIPER LTDA,ADMINISTRADORA DE SUPERMERCADOS HIPER LT,COME
Adm. Centro Com. Alto Las Condes Ltda,ADMCENTRO COMALTO LAS CONDES LTDA,COME
ADM.CENTRO COM.ALTO LAS CONDES LTDA,ADMCENTRO COMALTO LAS CONDES LTDA,COME
ADM.CENTRO_COM.ALTO_LAS_CONDES_LTDA,ADMCENTRO COMALTO LAS CONDES LTDA,COME
ADM_DE_SUPERMERCADOS_EXPRESS,ADMINISTRADORA DE SUPERMERCADOS EXPRESS,COME
ADM_DEL_CENTRO_COM_ALTO_LAS_CONDES_LTDA,ADMCENTRO COMALTO LAS CONDES LTDA,COME
ADM_SUP_EXPRESS,ADMINISTRADORA DE SUPERMERCADOS EXPRESS,COME
ADM_TEATRO_DEL_LAGO,ADM TEATRO DEL LAGO,ENSE
ADMIN DEL CENTRO COMERCIAL ALTO LAS COND,ADMCENTRO COMALTO LAS CONDES LTDA,COME
ADMIN DEL CENTRO COMERCIAL ALTO LAS CONDES LTDA.,ADMCENTRO COMALTO LAS CONDES LTDA,COME
ADMIN_DE_SUPERM_HIP,ADMINISTRADORA DE SUPERMERCADOS HIPER LT,COME
ADMINISTRADORA DE CENTROS COMERCIALES S.,ADMINISTRADORA DEL CENTRO COMERCIAL,COME
ADMINISTRADORA DE CENTROS COMERCIALES S.A.,ADMINISTRADORA DEL CENTRO COMERCIAL,COME
ADMINISTRADORA DE SUPERMERCADO HIPPER LT,ADMINISTRADORA DE SUPERMERCADOS HIPER LT,COME
ADMINISTRADORA DE SUPERMERCADO HIPPER LTDA Melipulli,ADMINISTRADORA DE SUPERMERCADOS HIPER LT,COME
Administradora de Supermercados Express,ADMINISTRADORA DE SUPERMERCADOS EXPRESS,COME
ADMINISTRADORA DE SUPERMERCADOS EXPRESS,ADMINISTRADORA DE SUPERMERCADOS EXPRESS,COME
ADMINISTRADORA DE SUPERMERCADOS EXPRESS ,ADMINISTRADORA DE SUPERMERCADOS EXPRESS,COME
Administradora de Supermercados Express ,ADMINISTRADORA DE SUPERMERCADOS EXPRESS,COME
ADMINISTRADORA DE SUPERMERCADOS HIPER LT,ADMINISTRADORA DE SUPERMERCADOS HIPER LT,COME
ADMINISTRADORA DEL CENTRO COMERCIAL,ADMINISTRADORA DEL CENTRO COMERCIAL,COME
ADMINISTRADORA DEL CENTRO COMERCIAL ALTO,ADMCENTRO COMALTO LAS CONDES LTDA,COME
ADMINISTRADORA PLAZA VESPUCIO S.A,ADMINISTRADORA PLAZA VESPUCIO SA,COME
ADMINISTRADORA PLAZA VESPUCIO S.A.,ADMINISTRADORA PLAZA VESPUCIO SA,COME
ADMINISTRADORA_DE_SUPERMERCADOS_EXPRESS_,ADMINISTRADORA DE SUPERMERCADOS EXPRESS,COME
ADMINISTRADORA_DE_SUPERMERCADOS_EXPRESS_LTDA.,ADMINISTRADORA DE SUPERMERCADOS EXPRESS,COME
ADMINISTRADORA_DE_SUPERMERCADOS_HI,ADMINISTRADORA DE SUPERMERCADOS HIPER LT,COME
ADMINISTRADORA_DE_SUPERMERCADOS_HIPER_LT,ADMINISTRADORA DE SUPERMERCADOS HIPER LT,COME
AEROPUERTO DE ANTOFAGASTA,AEROPUERTO DE ANTOFAGASTA,OTRO
AEROPUERTO NUEVO PUDAHUEL,AEROPUERTO NUEVO PUDAHUEL,OTRO
AG Servicios y Cia Ltda.,AG SERVICIOS Y COMPAÑIA LIMITADA,COME
AGR RADEMACHER Y CIA LTDA,AGR RADEMACHER Y CIA LTDA,AGCS
AGR. CHAÑAR BLANCO LT,AGR CHAÑAR BLANCO LT,AGCS
AGR._EL_MANZANAR_DE_PICOLTUE_LTDA.,AGRICOLA ELMANZANAR DE PICOLTUE,AGCS
